Well,Sample ID,Time (Minutes),RFUs,Gain Setting,Chromatic Settings,Expression Product,Amplicon DNA Template,Energy Solution,Reaction Type,Replicate,System,Reaction Temperature (°C),Performed by,Instrument,Experiment #,lysate_aspirate_height_init,lysate_aspirate_height_inc,substrates_aspirate_height_init,substrates_aspirate_height_inc,wax_dispense_volume,wax_dispense_height,wax_new_tip,wax_touch_tip,wax_air_gap,wax_disposal_volume,Assay Date
G03,Sample X11,0,14405,2500,635_680_4,Malachite Green,s70_deGFP_MGA,AP_ES_003,TXTL,1,AP_Lysate_003,37,AP & MJS,BMG POLARstar Omega,3,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
G05,Sample X12,0,15317,2500,635_680_4,Malachite Green,s70_deGFP_MGA,AP_ES_003,TXTL,2,AP_Lysate_003,37,AP & MJS,BMG POLARstar Omega,3,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
G07,Sample X13,0,15235,2500,635_680_4,Malachite Green,s70_deGFP_MGA,AP_ES_003,TXTL,3,AP_Lysate_003,37,AP & MJS,BMG POLARstar Omega,3,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
G09,Sample X14,0,14462,2500,635_680_4,Malachite Green,s70_deGFP_MGA,AP_ES_003,TXTL,4,AP_ES_003,37,AP & MJS,BMG POLARstar Omega,3,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
G11,Sample X15,0,14530,2500,635_680_4,Malachite Green,s70_deGFP_MGA,AP_ES_003,TXTL,5,AP_Lysate_003,37,AP & MJS,BMG POLARstar Omega,3,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
G13,Sample X16,0,15433,2500,635_680_4,Malachite Green,s70_deGFP_MGA,AP_ES_003,TXTL,6,AP_Lysate_003,37,AP & MJS,BMG POLARstar Omega,3,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
G15,Sample X17,0,14563,2500,635_680_4,Malachite Green,s70_deGFP_MGA,AP_ES_003,TXTL,7,AP_Lysate_003,37,AP & MJS,BMG POLARstar Omega,3,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
G17,Sample X18,0,18061,2500,635_680_4,Malachite Green,s70_deGFP_MGA,AP_ES_003,TXTL,8,AP_Lysate_003,37,AP & MJS,BMG POLARstar Omega,3,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
G19,Sample X19,0,16428,2500,635_680_4,Malachite Green,s70_deGFP_MGA,AP_ES_003,TXTL,9,AP_Lysate_003,37,AP & MJS,BMG POLARstar Omega,3,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
G21,Sample X20,0,21423,2500,635_680_4,Malachite Green,s70_deGFP_MGA,AP_ES_003,TXTL,10,AP_Lysate_003,37,AP & MJS,BMG POLARstar Omega,3,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
G03,Sample X11,2,14732,2500,635_680_4,Malachite Green,s70_deGFP_MGA,AP_ES_003,TXTL,1,AP_Lysate_003,37,AP & MJS,BMG POLARstar Omega,3,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
