Well,Sample ID,Time (Minutes),RFUs,Gain Setting,Chromatic Settings,Expression Product,Amplicon DNA Template,Energy Solution,Experiment #,Reaction Type,Replicate,System,lysate_aspirate_height_inc,lysate_aspirate_height_init,substrates_aspirate_height_inc,substrates_aspirate_height_init,wax_air_gap,wax_dispense_height,wax_dispense_volume,wax_disposal_volume,wax_new_tip,wax_touch_tip,Reaction Temperature (°C),Performed by,Instrument,Plate Reader Run #,Assay Date
B03,Sample X1,0,3148,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,1,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B05,Sample X2,0,3045,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,2,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B07,Sample X3,0,3091,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,3,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B09,Sample X4,0,3056,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,4,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B11,Sample X5,0,3189,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,5,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B13,Sample X6,0,3193,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,6,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B15,Sample X7,0,3127,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,7,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B17,Sample X8,0,3075,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,8,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B19,Sample X9,0,3118,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,9,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B21,Sample X10,0,3020,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,10,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D03,Sample X11,0,3943,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,1,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D05,Sample X12,0,3829,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,2,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
