User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test ID: 566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name: AP_MS_GFP,Date: 01/06/2022,Time: 13:12:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fluorescence (FI), multichromatic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Used kinetic range(s): Range 1; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Content,Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2),Raw Data (485/520 2)
,Time,0 min ,2 min ,4 min ,6 min ,8 min ,10 min ,12 min ,14 min ,16 min ,18 min ,20 min ,22 min ,24 min ,26 min ,28 min ,30 min ,32 min ,34 min ,36 min ,38 min ,40 min ,42 min ,44 min ,46 min ,48 min ,50 min ,52 min ,54 min ,56 min ,58 min ,60 min ,62 min ,64 min ,66 min ,68 min ,70 min ,72 min ,74 min ,76 min ,78 min ,80 min ,82 min ,84 min ,86 min ,88 min ,90 min ,92 min ,94 min ,96 min ,98 min ,100 min ,102 min ,104 min ,106 min ,108 min ,110 min ,112 min ,114 min ,116 min ,118 min ,120 min ,122 min ,124 min ,126 min ,128 min ,130 min ,132 min ,134 min ,136 min ,138 min ,140 min ,142 min ,144 min ,146 min ,148 min ,150 min ,152 min ,154 min ,156 min ,158 min ,160 min ,162 min ,164 min ,166 min ,168 min ,170 min ,172 min ,174 min ,176 min ,178 min ,180 min ,182 min ,184 min ,186 min ,188 min ,190 min ,192 min ,194 min ,196 min ,198 min ,200 min ,202 min ,204 min ,206 min ,208 min ,210 min ,212 min ,214 min ,216 min ,218 min ,220 min ,222 min ,224 min ,226 min ,228 min ,230 min ,232 min ,234 min ,236 min ,238 min ,240 min ,242 min ,244 min ,246 min ,248 min ,250 min ,252 min ,254 min ,256 min ,258 min ,260 min ,262 min ,264 min ,266 min 
B12,Sample X1,3323,3246,3208,3210,3185,3188,3214,3198,3188,3173,3164,3176,3175,3133,3170,3159,3113,3092,3085,3084,3010,3047,2979,2985,2985,2958,2971,2921,2963,2955,2970,2964,2964,2918,2925,2896,2909,2921,2914,2907,2896,2926,2926,2874,2896,2908,2897,2895,2910,2893,2912,2886,2898,2875,2909,2922,2926,2885,2864,2873,2864,2880,2887,2873,2870,2882,2890,2885,2866,2875,2864,2905,2884,2890,2866,2854,2902,2861,2876,2850,2895,2848,2855,2896,2902,2907,2863,2883,2885,2908,2877,2879,2874,2869,2870,2889,2868,2864,2875,2917,2873,2881,2868,2893,2863,2849,2861,2904,2910,2843,2875,2915,2861,2875,2874,2871,2920,2902,2866,2893,2861,2851,2884,2895,2884,2891,2897,2891,2884,2858,2892,2910,2906,2888
B13,Sample X2,3397,3354,3345,3310,3304,3320,3341,3296,3280,3319,3334,3310,3298,3283,3346,3288,3325,3292,3299,3227,3223,3209,3151,3154,3131,3132,3122,3095,3102,3074,3111,3045,3095,3039,3078,3028,3054,3039,3044,3074,3028,3025,2995,3070,3017,2997,3022,3024,2996,3023,2984,3024,3004,3028,3012,3019,3044,2975,3005,3005,2988,2981,2976,3000,3014,2990,3021,3001,3002,2967,2958,3012,2999,2950,2974,2989,2981,3012,2957,2961,2971,3000,2956,2972,2985,2947,2956,2951,3002,2983,2944,2980,2979,2967,2954,2969,2991,2980,3015,2994,2977,2990,2971,2983,2960,2977,2989,2992,2973,2995,2983,3003,3024,2940,3030,2958,2982,2982,3005,3002,2964,3010,3018,2999,3005,3010,3027,3019,3026,3018,2950,3001,2991,3005
B14,Sample X3,3221,3205,3159,3141,3159,3136,3149,3158,3151,3136,3149,3158,3149,3157,3142,3128,3147,3124,3154,3147,3197,3139,3139,3125,3134,3130,3152,3099,3113,3076,3030,3048,3065,3028,3038,3027,3068,3022,2989,3026,3002,3008,2997,2988,2979,2940,2948,2970,2956,3025,2957,3000,2946,2983,2976,2969,2962,2969,2947,2912,2931,2935,2970,2935,2971,2945,2944,2961,2944,2934,2931,2922,2956,2924,2929,2964,2890,2924,2932,2930,2907,2913,2939,2920,2934,2918,2952,2920,2937,2938,2936,2898,2905,2935,2925,2923,2937,2930,2956,2912,2933,2905,2949,2931,2931,2938,2945,2943,2923,2874,2943,2943,2942,2903,2903,2919,2940,2935,2926,2909,2934,2923,2929,2942,2929,2930,2913,2914,2951,2924,2921,2972,2939,2936
B15,Sample X4,3233,3199,3187,3169,3160,3136,3157,3154,3118,3149,3162,3141,3157,3167,3170,3182,3171,3175,3204,3146,3190,3214,3175,3221,3200,3184,3186,3227,3201,3151,3201,3213,3210,3156,3177,3147,3180,3193,3152,3149,3157,3131,3124,3124,3107,3142,3100,3105,3087,3081,3098,3083,3073,3067,3098,3062,3047,3088,3058,3058,3075,3097,3049,3085,3076,3030,3015,3081,3067,3076,3034,3053,3051,3075,3086,3049,3081,3019,3049,3022,3028,3031,3030,3040,3044,3056,3046,3021,3041,3059,3034,2994,3011,3031,3004,3004,3018,2991,3013,2994,2981,3017,3012,3020,2986,3017,3009,2965,3021,2988,2984,3006,2999,2962,2967,2949,2998,3007,2998,2988,2986,3004,2998,2976,2996,2974,2993,2986,3005,2982,3001,3018,2970,3013
B16,Sample X5,3220,3169,3130,3119,3113,3176,3139,3112,3128,3136,3091,3163,3112,3143,3101,3204,3152,3178,3143,3166,3146,3185,3204,3150,3176,3165,3145,3198,3166,3178,3173,3159,3188,3169,3170,3144,3177,3226,3201,3207,3190,3155,3143,3180,3158,3162,3157,3171,3180,3174,3144,3158,3137,3137,3126,3138,3126,3111,3135,3132,3128,3095,3103,3091,3062,3122,3119,3067,3065,3098,3073,3080,3065,3092,3088,3029,3066,3071,3071,3048,3099,3072,3076,3058,3052,3055,3050,3043,3050,3050,3031,3053,3038,3063,3027,3052,3074,3033,3035,3050,3046,3031,3051,3027,3025,3036,3042,3050,3004,2999,3014,3045,3011,2995,3024,3036,3054,3035,3016,3029,3033,2993,3032,3024,3028,3010,3041,3025,3036,2977,3006,2983,2986,3005
B17,Sample X6,3246,3217,3258,3192,3210,3217,3221,3208,3150,3180,3171,3203,3218,3213,3177,3188,3195,3197,3205,3165,3174,3180,3204,3207,3262,3218,3234,3229,3204,3217,3217,3210,3218,3238,3187,3217,3215,3205,3217,3222,3171,3204,3210,3197,3204,3212,3159,3200,3220,3198,3179,3217,3184,3203,3205,3220,3171,3173,3186,3154,3167,3180,3220,3174,3177,3205,3195,3182,3118,3116,3174,3135,3142,3155,3145,3133,3143,3168,3170,3127,3118,3127,3172,3148,3142,3155,3110,3115,3090,3131,3144,3098,3138,3112,3101,3107,3128,3140,3122,3122,3118,3096,3122,3118,3128,3125,3056,3127,3105,3101,3102,3103,3134,3126,3088,3111,3121,3116,3080,3093,3092,3101,3091,3094,3079,3114,3073,3098,3086,3092,3128,3060,3088,3074
B18,Sample X7,3083,3069,3059,3052,3027,3016,3065,3030,3042,3037,3027,3011,3076,3036,3047,3061,3026,3034,3011,3043,3010,3062,3035,3069,3058,3063,3061,3048,3063,3050,3084,3073,3068,3043,3082,3066,3048,3076,3077,3025,3071,3023,3046,3068,3044,3028,3033,3048,3053,3045,3069,3001,3041,3045,3064,3030,3027,3019,3060,3026,3064,3059,3061,3024,3033,3086,3048,3043,3041,3025,3033,3043,3056,3005,3086,3045,3011,2991,3058,3030,3035,3030,3003,3043,3027,3040,3046,3070,3028,2985,3009,3013,3057,2995,3047,3018,3028,3017,2994,3006,3056,3017,3020,3040,3034,3017,3002,2976,2991,2943,2984,3025,2988,3021,3024,2984,3026,3007,3015,2971,2953,2972,2981,2991,2958,2989,2993,3010,3002,2985,3016,2975,3002,3015
B19,Sample X8,3103,3061,3068,3065,3029,3002,3014,3031,3071,3057,3019,3010,3009,3019,3018,3033,3036,3018,3013,3033,3004,2997,3033,3052,3022,3038,3026,3028,3007,3032,3026,3049,3026,3019,3074,3042,2994,3057,3066,3037,3054,3039,3034,3020,3020,3014,3045,3049,3042,3047,3036,3009,3032,3025,3038,3017,3018,3032,3030,3015,3027,3024,3094,3026,3030,3034,3031,3031,3018,3035,3061,3019,3019,3025,3048,2985,3020,3022,3013,3051,3017,3048,3028,3016,3011,3049,3007,3009,3006,3007,3032,3058,3028,3027,3052,3033,3018,3045,3029,3041,3026,3032,3042,3034,3042,3021,3010,3028,3027,3052,3027,3017,3063,3052,2996,3002,3023,3004,3001,2984,3024,3059,3039,3045,3013,3051,3019,3029,3034,3039,3022,3021,3018,3014
