Well,Sample ID,Time (Minutes),RFUs,Gain Setting,Chromatic Settings,Expression Product,Amplicon DNA Template,Energy Solution,Reaction Type,Replicate,System,Reaction Temperature (°C),Performed by,Instrument,Experiment #,lysate_aspirate_height_init,lysate_aspirate_height_inc,substrates_aspirate_height_init,substrates_aspirate_height_inc,wax_dispense_volume,wax_dispense_height,wax_new_tip,wax_touch_tip,wax_air_gap,wax_disposal_volume,Assay Date
C03,Sample X1,0,14488,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C05,Sample X2,0,15150,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C07,Sample X3,0,15512,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C09,Sample X4,0,14804,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C11,Sample X5,0,14438,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C13,Sample X6,0,15068,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C15,Sample X7,0,14679,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C17,Sample X8,0,14188,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C19,Sample X9,0,14217,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C21,Sample X10,0,14705,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C03,Sample X1,2,14494,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C05,Sample X2,2,14602,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C07,Sample X3,2,15281,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C09,Sample X4,2,14953,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C11,Sample X5,2,14922,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C13,Sample X6,2,15068,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C15,Sample X7,2,14570,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C17,Sample X8,2,14379,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C19,Sample X9,2,14524,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C21,Sample X10,2,14093,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C03,Sample X1,4,14086,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C05,Sample X2,4,14811,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C07,Sample X3,4,14998,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C09,Sample X4,4,14954,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C11,Sample X5,4,14563,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C13,Sample X6,4,14584,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C15,Sample X7,4,14810,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C17,Sample X8,4,14694,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C19,Sample X9,4,14601,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C21,Sample X10,4,14556,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C03,Sample X1,6,14595,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C05,Sample X2,6,14925,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C07,Sample X3,6,15325,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C09,Sample X4,6,15047,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C11,Sample X5,6,14808,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C13,Sample X6,6,14518,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
C15,Sample X7,6,14707,2500,635_680_4,Malachite Green,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,2,4.5,0.4,9,0.4,35,-3,never,False,20,30,2022-02-06
