"","run.order","std.order","x1","x2"
"1",1,1,-1,-1
"1.1",2,2,-1,-1
"1.2",3,3,-1,-1
"1.3",4,4,-1,-1
"1.4",5,5,-1,-1
"2",6,6,1,-1
"2.1",7,7,1,-1
"2.2",8,8,1,-1
"2.3",9,9,1,-1
"2.4",10,10,1,-1
"3",11,11,-1,1
"3.1",12,12,-1,1
"3.2",13,13,-1,1
"3.3",14,14,-1,1
"3.4",15,15,-1,1
"4",16,16,1,1
"4.1",17,17,1,1
"4.2",18,18,1,1
"4.3",19,19,1,1
"4.4",20,20,1,1
"11",21,21,0,0
"21",22,22,0,0
"31",23,23,0,0
"41",24,24,0,0
"110",1,1,-1.4142135623731,0
"25",2,2,1.4142135623731,0
"32",3,3,0,-1.4142135623731
"42",4,4,0,1.4142135623731
"5",5,5,-1.4142135623731,0
"6",6,6,1.4142135623731,0
"7",7,7,0,-1.4142135623731
"8",8,8,0,1.4142135623731
"9",9,9,-1.4142135623731,0
"10",10,10,1.4142135623731,0
"111",11,11,0,-1.4142135623731
"12",12,12,0,1.4142135623731
"13",13,13,-1.4142135623731,0
"14",14,14,1.4142135623731,0
"15",15,15,0,-1.4142135623731
"16",16,16,0,1.4142135623731
"17",17,17,-1.4142135623731,0
"18",18,18,1.4142135623731,0
"19",19,19,0,-1.4142135623731
"20",20,20,0,1.4142135623731
"211",21,21,0,0
"22",22,22,0,0
"23",23,23,0,0
"24",24,24,0,0
